content,score,at
"Udah lah mending tutup aja ini apk g guna. Aneh Paylater Pinjam semua tidak bisa di pake,padahal saya selalu bayar tepat waktu malah sebelum jatuh tempo sudah di bayar,ini semua di bekukan . Sya ini org benar bukan MW nipu. OJK harus tutup nih akulaku tidak jls ini apk. Di kasih limit tidak bisa di pake. Org lain yg jahat tidak bayar ,org baik kena getah nya . Hmmmmm Auto Delete Bubar Smua dari aku laku MW bangkrut ini apk ..",1,6/5/2023 18:49
Sangat membantu saat butuh dana darurat,5,6/5/2023 18:44
Gak jelas,5,6/5/2023 18:43
Baru saja hari ini pelunasan padahal besok jatuh tempo. Bayar 1jt 300 malah turun limit ke 300 itu pun ga cair,1,6/5/2023 18:42
Lumayan bisa bantu kekurangan,5,6/5/2023 18:41
"Ok bisa membantu ke butuhan sehari""",5,6/5/2023 18:40
Mantap,5,6/5/2023 18:39
"Sangat membantu disaat mendesak, mudah²an di saat pengajuan lagi bisa lebih besar 😇",5,6/5/2023 18:38
"pinjaman harus pake bpjsku sekarang,payletter juga susah makin buruk aja akulaku",1,6/5/2023 18:38
"Slamat malam akulaku,mohon infonya,,jika ada kendala dlm pengiriman barang,apakah pihak akulaku ada mengirim link melalui wa ke no konsumen?? Atau itu ada oknum yg modus,mohon jawabanya agar saya tidak gegabah,trimakasih🙏🙏🙏",5,6/5/2023 18:36
Ok,5,6/5/2023 18:34
Sangat kecewa setelah tunggakan dan kredit. Di bayar selesai malah ngga dapat meminjam ..sangat mengecewakan,5,6/5/2023 18:31
Ramah,5,6/5/2023 18:28
Ok,3,6/5/2023 18:26
Bagus sangat membantu,5,6/5/2023 18:25
aplikasi ini sangat membantu...cuman masih bingung kalo mau pinjam uang bayarnya di angsur kok gk bisa,5,6/5/2023 18:24
Poll,5,6/5/2023 18:24
"Pertama x pakai aplikasi ini, langsung di ACC & ditawarkan berbagai macam barang. Langsung suka deh. Mksh Akulaku☺️❤️",5,6/5/2023 18:23
sangat bagus,5,6/5/2023 18:23
Sangat membantu di saat butuh uang 💸,5,6/5/2023 18:23
Mantab murah,5,6/5/2023 18:21
Ok,5,6/5/2023 18:20
Sangat membantu...semoga Pi jaman ini bermanfaat,5,6/5/2023 18:17
bagus cuman ga bisa kredit cuman 1 bln kredit nya,5,6/5/2023 18:16
Pelayanan yg sangat baik ini baru namanya pinjol resmi,5,6/5/2023 18:16
Bintang yg berbicara,5,6/5/2023 18:14
Makasih,4,6/5/2023 18:13
Ini kenapa yah limit masih 750rb tapi engga bisa di pakai tadinya 800rb pakai 1x saja isi token listrik tapi sekarang engga bisa di gunain sama sekali,5,6/5/2023 18:13
"Udah berulang kali ajukan pinjaman keridet tak pernah di loloskan,Terimah kasih buat ademin mg2 jadi orang terkaya di dunia",1,6/5/2023 18:08
Sukses sllu,5,6/5/2023 18:08
1 kali lolos 2x lolos 3x lolos Trus mau ajuin lg eh malah gx lolos gimana ini,1,6/5/2023 18:08
Bagus,4,6/5/2023 18:07
Membantu,5,6/5/2023 18:05
Bagus sangat membantu saya,5,6/5/2023 18:03
taikin lagi limitny biar bisa transaksi terus di akulaku,5,6/5/2023 18:03
Sangat membantu,5,6/5/2023 18:02
Bunga yg sanget ringan dan tidak ribet dalam pengajuan pinjamanan,5,6/5/2023 18:02
Sangat bagus,5,6/5/2023 17:59
Barang nya selalu reall dan baguss banget cuyyy,5,6/5/2023 17:58
Piturnya tambah kesini tambah ngaco ngga bisa di gunakan,2,6/5/2023 17:58
Akulaku sangat membantu saya,5,6/5/2023 17:58
ok,5,6/5/2023 17:57
Ok,5,6/5/2023 17:54
Sangat m'bantu,5,6/5/2023 17:51
Proses dan respo nya cepat,5,6/5/2023 17:51
Ok,5,6/5/2023 17:50
Untuk saat ini pelayanan puas 👍🏾 Trimakasih,5,6/5/2023 17:49
gud job,5,6/5/2023 17:49
Bgus,3,6/5/2023 17:48
sangat mudah,5,6/5/2023 17:47
Terimakasih hadir saat dibutuhkan. Smoga limit saya dinaikkan,5,6/5/2023 17:46
Membantu saat kepepd,5,6/5/2023 17:44
Sangat bagus..,4,6/5/2023 17:42
Josss akulaku nya,5,6/5/2023 17:42
Mainnya hebat,5,6/5/2023 17:41
"Splater ngak bisa buat blanja,kecewa banget ,padahal limit kredtnya 800rb,buat ap kalau ad segitu,ngak manfaat",1,6/5/2023 17:41
Sangat membantu,5,6/5/2023 17:41
kecewa. cara penagihannya kayak aplikasi ilegal . mau nyebarin data dan foto2... serta bahasanya tidak sopan.,1,6/5/2023 17:40
"Bermanfaat,🥳",5,6/5/2023 17:40
Terimakasih sangat nembantu,5,6/5/2023 17:38
Taiikkkk,1,6/5/2023 17:38
makin sukses,5,6/5/2023 17:36
semoga terus mempermudah dalam setiap proses,5,6/5/2023 17:36
Alhamdulillah sangat membantu dengan aku laku,5,6/5/2023 17:34
Cukup membantu sekali bagi masyarakat kecil,5,6/5/2023 17:34
Ok,5,6/5/2023 17:32
Sangat membantu,5,6/5/2023 17:27
Jos gandos,5,6/5/2023 17:27
Terlalu susah untuk mencairkan dana Saya uninstal saja mintol data diri saya di hapus🙏,1,6/5/2023 17:26
"Terima kasih aku laku atas bantuan dananya,,",5,6/5/2023 17:23
Mantap bosku,5,6/5/2023 17:22
sangat membantu,5,6/5/2023 17:22
Mantab,5,6/5/2023 17:22
"Aplikasi paling dipercaya, silahkan ajuka peminjaman. Aku pertama kali langsung disetujui, tidak kurang dr 5 menit dana langsung cair, ini sudah pembayaran yang kedu, semoga nanti pengajuan berikutnya bisa disetujui. Ingat yaa, meminjam online kalo memang keperluan yg penting saja 😊🙏🏻",5,6/5/2023 17:18
"Jelek kali da, padahal gk perna telat bayar. Limitnya turun 300, pas mau ajukan lagi ehhhh malah tidak lolos verifikasi terus. Disuruh ajukan lagi, tolak lagi. Pada hal gk perna telat bayarrrrrrrrrrrr",1,6/5/2023 17:18
Bugus bangget aplikasi akulaku sya suka,5,6/5/2023 17:17
"Limit saya hilang setelah melakukan pembayaran, sangat mengecewakan",1,6/5/2023 17:16
Terima kasih sangat membantu 🙏,5,6/5/2023 17:15
Nice,5,6/5/2023 17:12
"Susah verifikasi untuk paylater nya saya sudah beberapa kali mencoba dan hasil nya tetap sama ""Kualitas foto kurang bagus"" Padahal sudah sangat jelas",5,6/5/2023 17:11
"Terima kasih selama ini telah membantu saya, walaupun saya mencoba beberapa kali utk pinjam lagi,, dan terus tidak di ACC, saya selalu membayar, entah dimana kesalahan tsb,, bahkan plavon pun turun drastis....trm ksh",5,6/5/2023 17:09
"Apk ga guna mau verifikasi ktp aja susah banget bdoh,kurang bagus terus asu",1,6/5/2023 17:08
Mudah ga ribet,5,6/5/2023 17:08
Ok siip lah,5,6/5/2023 17:08
Mantap,5,6/5/2023 17:06
Good job,5,6/5/2023 17:06
Sangat membantu,5,6/5/2023 17:06
Jangan daftar akulaku..percuma punya limit ga bisa digunakan......sia..sia buang ......mending pake aplikasi tetangga..limit nya ..bisa digunakan..,1,6/5/2023 17:05
Sukes selalu untuk akulaku,5,6/5/2023 17:01
Belum dikasih,1,6/5/2023 17:01
Mantapppppp,5,6/5/2023 17:00
Good,5,6/5/2023 16:59
Mempermudah banget dan murah meriah,5,6/5/2023 16:54
Saya harap kedepan lebihh baguss,5,6/5/2023 16:52
Semoga playlater nya bisa di gunakan.,5,6/5/2023 16:52
Puas,5,6/5/2023 16:52
Amanah dan sesuai dengan kebutuhan dan mudah,5,6/5/2023 16:52
"aplikasi gak mutu,udah bayar masih diteror telepon",1,6/5/2023 16:48
Naikan limit saya tolong,3,6/5/2023 16:47
Mmbntu,5,6/5/2023 16:46
"Bagus, sangat membantu",4,6/5/2023 16:46
Patennm,5,6/5/2023 16:44
Good job,5,6/5/2023 16:43
Mantap..,5,6/5/2023 16:39
Ok,5,6/5/2023 16:36
Oke,5,6/5/2023 16:34
"Ga punya tagihan, tapi pas mau kredit selalu gagal mending hapus aja sekalian akunya",2,6/5/2023 16:34
Membantu,5,6/5/2023 16:33
Oke,5,6/5/2023 16:32
Susah dapet limit,5,6/5/2023 16:30
bisa di andalin,5,6/5/2023 16:30
Sangat membantu sekali,5,6/5/2023 16:26
Ok,5,6/5/2023 16:26
sangat membantu kebutuhan dan keuangan keluarga,5,6/5/2023 16:22
Terbaik,5,6/5/2023 16:20
Ga bisa instal kenapa ya,3,6/5/2023 16:18
Bagus,5,6/5/2023 16:17
Alhamdulillah bagus sekali,5,6/5/2023 16:17
Saya sangat puas,5,6/5/2023 16:17
nacod banyak iklan lu anjeng,1,6/5/2023 16:11
good,5,6/5/2023 16:11
"Mantap ancamannya ,,telat 2 hari ancamannya bikin ngeriiii,,GK usak takut gua bayar,gua telat karna gua blom gajian ,,,lagian tlat juga ada dendaannya",1,6/5/2023 16:10
Ok,5,6/5/2023 16:07
Boss skrg terlalu ribet.. pinjem sdh gk acc. Dulu saya hutang hp. Angssurnya lambat2 skrg pinjem sdh gk bisa sdg di backlis yaa... padahal juga sdh lunas... mohon penjelasanya,5,6/5/2023 16:07
"Mohon untuk dana cicil saya sarankan operatornya agar diperbaiki ,masa pelanggan sudah bayar sebelum jatuh tempo masih saja ditlp dan mohon diteliti kembali sebelum menelpon pelanggannya yang menggunakan dana cicil agar tidak terjadi kesalah pahaman terima kasih akulaku🙏",5,6/5/2023 16:05
Sangat baik,5,6/5/2023 16:02
Sangat membantu👍,4,6/5/2023 16:02
Bagus,5,6/5/2023 16:02
Sampah,1,6/5/2023 16:01
"Tidak ada kendala pakai paylater , terus di pertahankan",5,6/5/2023 16:00
"Terima kasih,proses cepat dan ramah.",5,6/5/2023 15:59
Sangat membantu,5,6/5/2023 15:58
Sidekick💓,5,6/5/2023 15:57
Sangat membantu,4,6/5/2023 15:55
Bagus dan cepat,5,6/5/2023 15:55
Mantul pokoknya,5,6/5/2023 15:54
Sangat mudah untuk pembayarannya.,5,6/5/2023 15:52
Aplikasi teroris rentenir online gak ramah,1,6/5/2023 15:50
"ferifikasinya terlalu lama..antara di acc / enggknya mohon di konfrmasi..bukanya hrs masukan pin ber ulang"" trs..",1,6/5/2023 15:50
sangat membantu,5,6/5/2023 15:50
Okei bgt kalo buat pinjaman si tapi engga yang bnyak gitu,5,6/5/2023 15:49
"Gak kyk aplikasi orange, paylater nya biar belum lunas, masih bisa di pakai saldo nya. Lah ini, mau isi pulsa 20rb aja gak bisa... Membagongkan, padahal byr on time lho.. Kalo di liat, alasan nya pasti kriteria sistem, heyyy, sistem itu kan yg buat manusia. Berarti standart sistem aplikasi ini sangatt jeleekkkk....",1,6/5/2023 15:47
aplikasi akulaku emang sangat membantu,5,6/5/2023 15:42
Kok limit d trunkan padahal tdk pernah telat bayar,4,6/5/2023 15:36
sangat bagus sekali apli kasinya..,5,6/5/2023 15:36
"Aplikasi yg ngga jelas,. Limit pinjaman tiba2 menurun, padahal bayar tepat waktu dan ngga pernah telat, dan untuk meminjam lg sulit.,.",1,6/5/2023 15:36
Ada Apa Dengan Aku Laku? Bayar selalu tepat waktu tapi limit berkurang sekali dan tidak bisa ambil pinjaman dengan skor kredit. Padahal pembyaran saya selalu bagus.,1,6/5/2023 15:34
Mantap,5,6/5/2023 15:34
Sangat membantu trimaksih akulaku,4,6/5/2023 15:33
Saya butuh sekarang bukan besok,1,6/5/2023 15:28
Sangat membantu mobilitas hidup,5,6/5/2023 15:28
Good,5,6/5/2023 15:28
Bagus,5,6/5/2023 15:23
Sangat membantu,5,6/5/2023 15:22
bagussss,5,6/5/2023 15:17
Sangat suka dengan akulaku,5,6/5/2023 15:16
Trimakasih Akulaku Sangat membantu,5,6/5/2023 15:15
Bagus,5,6/5/2023 15:15
Bagus bngett..,5,6/5/2023 15:09
Good,5,6/5/2023 15:08
Aplikasi yg sangat membantu sukses selalu akulaku,5,6/5/2023 15:03
Bagus,5,6/5/2023 15:02
Good,5,6/5/2023 15:01
Kok saya tidak bisa mengajukan pinjaman lagi,5,6/5/2023 15:01
Nice,5,6/5/2023 15:00
mudah dan cepat,5,6/5/2023 14:57
"Daftarnya gampang dan cepat, tidak berbelit-belit, pinjaman pertama lansung diterima, tenor mantap👍 The Best👍👍👍 Buruan download aplikasinya mantap👍 Terimakasih Akulaku berkat aplikasi ini kebutuhan hidup saya jadi serba mudah🙏 Pembayarn gak pernah terlambat 2/3 hari sebelum jatu tempo. Tetapi sekarang tidak bisa dapat pinjaman lagi, pas mau pinjam harus isi npwp/bpjs ketenagakerjaan. Sudah gak seperti di awal lagi. Jadi makin mengecewakan.🥲",5,6/5/2023 14:56
Padahal udah saya lunas dan mau ngajuk.an lagi kenapa kok gagal terus ya. ???,1,6/5/2023 14:55
